,scientific,common
5375,N=Cerastes cerastes,C=Horned desert viper
5376,N=Cercocebus chrysogaster,C=Golden-bellied mangabey
5377,N=Cercis canadensis,C=Eastern redbud
5378,N=Ceratitis cosyra,C=Mango fruit fly
5379,N=Cercopithecus cephus,C=Moustached monkey
5380,N=Cerma cerintha,C=Tufted bird-dropping moth
5381,N=Ceratomia catalpae,C=Catalpa sphinx
5382,N=Cercartetus caudatus,C=Long-tailed pygmy possum
5383,N=Ceratogyrus darlingi,C=Rear horned baboon tarantula
5384,N=Ceratophyllum demersum,C=Rigid hornwort
5385,N=Cercopithecus diana,C=Diana monkey
5386,N=Ceratophysella denticulata,C=Springtail
5387,N=Cerastoderma edule,C=Common cockle
5388,N=Cervus elaphus hippelaphus,C=European red deer
5389,N=Ceratiola ericoides,C=Sandhill rosemary
5390,N=Cervus elaphus,C=Red deer
5391,N=Cervus elaphus nelsoni,C=Rocky Mountain elk
5392,N=Cervus elaphus roosevelti,C=Roosevelt's wapiti
5393,N=Cercopithecus erythrogaster,C=Red-bellied monkey
5394,N=Ceraclea excisa,C=Caddisfly
5395,N=Certhia familiaris,C=Eurasian treecreeper
5396,N=Ceratocystis fimbriata f. sp. platani,unknown
5397,N=Ceratitis fasciventris,C=Fruit fly
5398,N=Cercocebus galeritus,C=Tana river mangabey
5399,N=Cerastoderma glaucum,C=Lagoon cockle
5400,N=Ceratodalia gueneata,C=Moth
5401,N=Cerastium glomeratum,C=Sticky chickweed
5402,N=Cerrophidion godmani,C=Porthidium godmani
5403,N=Ceratopetalum gummiferum,C=New South Wales Christmas bush
5404,N=Cercopithecus hamlyni,C=Owl-faced monkey
5405,N=Ceratozamia hildae,C=Bamboo cycad
5406,N=Cercidiphyllum japonicum,C=Katsura tree
5407,N=Ceramium japonicum,C=Red alga
5408,N=Ceracris kiangsu,C=Yellow-spined bamboo locust
5409,N=Ceratozamia kuesteriana,C=Cycad
5410,N=Cerebratulus lacteus,C=Milky ribbon worm
5411,N=Cercocarpus ledifolius,C=Curl-leaf mountain mahogany
5412,N=Ceratiosicyos laevis,unknown
5413,N=Cercopithecus lomamiensis,C=Lesula
5414,N=Cercartetus lepidus,C=Little pygmy possum
5415,N=Ceropegia linearis subsp. woodii,C=Hearts entangled
5416,N=Cerebratulus marginatus,C=Ribbon worm
5417,N=Ceratozamia mexicana,C=Mexican horncone
5418,N=Cercopithecus mitis,C=Blue monkey
5419,N=Cerianthus membranaceus,C=Colored tube anemone
5420,N=Cerorhinca monocerata,C=Rhinoceros auklet
5421,N=Cercopithecus mona,C=Mona monkey
5422,N=Ceratozamia miqueliana,C=Miquel's horncone
5423,N=Ceratogyrus marshalli,C=Straighthorned baboon tarantula
5424,N=Cervus nippon aplodontus,C=Sika deer
5425,N=Cercospora nicotianae,C=Barn spot disease fungus
5426,N=Cercopithecus neglectus,C=De Brazza's monkey
5427,N=Cervus nippon hortulorum,C=Dybowski's sika deer
5428,N=Cervus nippon,C=Sika deer
5429,N=Cervus nippon nippon,C=Japanese sika deer
5430,N=Cereopsis novaehollandiae,C=Cape Barren goose
5431,N=Cervus nippon pseudaxis,C=Tonkin sika deer
5432,N=Cercopithecus nictitans,C=Greater white-nosed monkey
5433,N=Cervus nippon taiouanus,C=Formosan sika deer
5434,N=Cercartetus nanus,C=Eastern pygmy possum
5435,N=Cervus nippon yesoensis,C=Wild sika deer
5436,N=Cercyonis oetus,C=Small wood nymph
5437,N=Certhidea olivacea,C=Green warbler-finch
5438,N=Ceratophrys ornata,C=Ornate horned frog
5439,N=Cercyonis pegala,C=Common wood-nymph
5440,N=Cercospora piaropi,unknown
5441,N=Cercopithecus petaurista,C=Lesser spot-nosed monkey
5442,N=Ceratodon purpureus,C=Fire moss
5443,N=Cerithidea rhizophorarum,C=Water snail
5444,N=Ceratopteris richardii,C=Triangle waterfern
5445,N=Ceratitis rosa,C=Natal fruit fly
5446,N=Cerberus rynchops,C=Dog-faced water snake
5447,N=Cereibacter sphaeroides (strain ATCC 17029 / ATH 2.4.9),unknown
5448,N=Cereibacter sphaeroides (strain ATCC 17023 / DSM 158 / JCM 6121 / CCUG 31486 / LMG 2827 / NBRC 12203 / NCIMB 8253 / ATH 2.4.1.),unknown
5449,N=Cereibacter sphaeroides (strain ATCC 17025 / ATH 2.4.3),unknown
5450,N=Ceriporiopsis subvermispora (strain B),C=White-rot fungus
5451,N=Cerrophidion sasai,C=Costa Rica montane pitviper
5452,N=Ceratophyllum submersum,C=Tropical hornwort
5453,N=Ceratotherium simum cottoni,C=Northern white rhinoceros
5454,N=Cercotrichas signata,C=Brown scrub-robin
5455,N=Cercaria shikokuensis,unknown
5456,N=Ceratotherium simum,C=White rhinoceros
5457,N=Cereibacter sphaeroides (strain KD131 / KCTC 12085),unknown
5458,N=Ceratonia siliqua,C=Carob
5459,N=Cerrena sp. (strain MTCC 5159),C=Bracket fungus
5460,N=Cereibacter sphaeroides,unknown
5461,N=Ceratotherium simum simum,C=Southern white rhinoceros
5462,N=Ceratonova shasta,C=Freshwater myxozoan parasite
5463,N=Ceriporiopsis subvermispora,C=White-rot fungus
5464,N=Cerdocyon thous,C=Crab-eating fox
5465,N=Ceratoserolis trilobitoides,C=Antarctic isopod
5466,N=Cercocebus torquatus,C=Red-capped mangabey
5467,N=Cerrena unicolor,C=Canker rot fungus
5468,N=Carnation etched ring virus,C=CERV
5469,N=Cerastes vipera,C=Sahara sand viper
5470,N=Cercopis vulnerata,C=Blood froghopper
5471,N=Cercopithecus wolfi,C=Wolf's monkey
5472,N=Cestrum elegans,C=Red cestrum
5473,N=Cestrum nocturnum,C=Night jessamine
5474,N=Cestum veneris,C=Venus girdle
5475,N=Cetonia aurata,C=Rose chafer beetle
5476,N=Cetoscarus bicolor,C=Bicolor parrotfish
5477,N=Cetostoma regani,C=Pink flabby whalefish
5478,N=Ceratias uranoscopus,C=Stargazing seadevil
5479,N=Ceutorhynchus contractus,C=Cabbage leaf weevil
5480,N=Ceutorhynchus erysimi,C=Weevil
5481,N=Chrysochromulina ericina virus,C=CeV01
5482,N=Ceyx erithaca,C=Oriental dwarf-kingfisher
5483,N=Ceyx lepidus,C=Moluccan dwarf-kingfisher
5484,N=Choristoneura fumiferana entomopoxvirus,C=CfEPV
5485,N=Cocksfoot mottle virus (isolate Dactylis glomerata/Norway/CfMV-NO/1995),C=CfMV
5486,N=Cucumber green mottle mosaic virus (strain watermelon SH),C=CGMMV
5487,N=Cucumber green mottle mosaic virus (strain watermelon W),C=CGMMV
5488,N=Chamaeleo arabicus,C=Arabian chameleon
5489,N=Chaetodipus arenarius,C=Little desert pocket mouse
5490,N=Chaenocephalus aceratus,C=Blackfin icefish
5491,N=Chaetodipus artus,C=Narrow-skulled pocket mouse
5492,N=Chaunax abei,C=Coffinfish
5493,N=Chamaeleo africanus,C=African chameleon
5494,N=Chaetopleura angulata,C=Chiton
5495,N=Channa asiatica,C=Small snakehead
5496,N=Charadrius alexandrinus,C=Kentish plover
5497,N=Chatogekko amazonicus,C=Brazilian pygmy gecko
5498,N=Chaerephon ansorgei,C=Ansorge's free-tailed bat
5499,N=Chaetopleura apiculata,C=Common eastern chiton
5500,N=Chaetodon argentatus,C=Asian butterflyfish
5501,N=Chaetodon austriacus,C=Exquisite butterflyfish
5502,N=Charybdis acuta,C=Swimming crab
5503,N=Chaetodon auriga,C=Threadfin butterflyfish
5504,N=Chaetodipus baileyi,C=Bailey's pocket mouse
5505,N=Charadrius bicinctus,C=Double-banded plover
5506,N=Charina bottae,C=Northern rubber boa
5507,N=Chaetodon baronessa,C=Eastern triangular butterflyfish
5508,N=Chara braunii,C=Braun's stonewort
5509,N=Chaetodon capistratus,C=Four-eye butterflyfish
5510,N=Chara corallina,C=Stonewort
5511,N=Charadrius collaris,C=Collared plover
5512,N=Chaos carolinense,C=Amoeba
5513,N=Chaetodontoplus caeruleopunctatus,C=Bluespotted angelfish
5514,N=Chamaeleo calcaricarens,C=Awash chameleon
5515,N=Chamaedrilus cognettii,C=Terrestrial worm
5516,N=Chauna chavaria,C=Northern screamer
5517,N=Chaetodon citrinellus,C=Speckled butterflyfish
5518,N=Chamaetylas choloensis,C=Thyolo alethe
5519,N=Chartergellus communis,C=Wasp
5520,N=Chaetodipus californicus,C=California pocket mouse
5521,N=Chamaeleo chamaeleon,C=Mediterranean chameleon
5522,N=Chanos chanos,C=Milkfish
5523,N=Chara connivens,C=Convergent stonewort
5524,N=Chaerephon chapini,C=Chapin's free-tailed bat
5525,N=Chaetodon collare,C=Redtail butterflyfish
5526,N=Chamaedorea costaricana,C=Costarican bamboo palm
5527,N=Chassalia chartacea,unknown
5528,N=Chaoborus crystallinus,C=Phantom midge
5529,N=Chamaeleo calyptratus,C=Veiled chameleon
5530,N=Charadrius dubius,C=Little ringed plover
5531,N=Chaetodon decussatus,C=Indian vagabond butterflyfish
5532,N=Chamaeleo dilepis,C=Flapneck chameleon
5533,N=Chamaeleo dilepis quilensis,C=Bocage's chameleon
5534,N=Chaetodontoplus duboulayi,C=Scribbled angelfish
5535,N=Chaetodon ephippium,C=Saddleback butterflyfish
5536,N=Chaetodipus eremicus,C=Chihuahuan pocket mouse
5537,N=Charadrius falklandicus,C=Two-banded plover
5538,N=Chamaea fasciata,C=Wrentit
5539,N=Charybdis feriata,C=Crucifix crab
5540,N=Chaetodipus fallax,C=San Diego pocket mouse
5541,N=Chamaecyparis formosensis,C=Formosan cypress
5542,N=Chaetodipus formosus,C=Long-tailed pocket mouse
5543,N=Chara fibrosa,C=Green alga
5544,N=Chamaecrista fasciculata,C=Showy partridge pea
5545,N=Chaetodon flavirostris,C=Black butterflyfish
5546,N=Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 / NRRL 1970),C=Soil fungus
5547,N=Chaetodipus goldmani,C=Goldman's pocket mouse
5548,N=Chaetosphaeridium globosum,C=Charophycean green alga
5549,N=Chara globularis,C=Fragile stonewort
5550,N=Chamaeleo gracilis,C=Graceful chameleon
5551,N=Chaetomium globosum,C=Soil fungus
5552,N=Chaetodon guttatissimus,C=Peppered butterflyfish
5553,N=Champsocephalus gunnari,C=Mackerel icefish
5554,N=Charadrius hiaticula,C=Common ringed plover
5555,N=Chalcostigma herrani,C=Rainbow-bearded thornbill
5556,N=Chaetodipus hispidus,C=Hispid pocket mouse
5557,N=Charybdis hellerii,C=Indo-Pacific swimming crab
5558,N=Chamaerops humilis,C=Mediterranean fan palm
5559,N=Chaetodipus intermedius,C=Rock pocket mouse
5560,N=Chaerephon jobensis,C=Northern mastiff bat
5561,N=Charybdis japonica,C=Asian swimming crab
5562,N=Chaetodon kleinii,C=Sunburst butterflyfish
5563,N=Chamaecyparis lawsoniana,C=Lawson false cypress
5564,N=Channa lucius,C=Forest snakehead
5565,N=Chaetodon lineolatus,C=Lined butterflyfish
5566,N=Chaetopleura lanuginosa,C=Chiton
5567,N=Chaetogastra longifolia,C=Longleaf glorytree
5568,N=Chaetodon larvatus,C=Hooded butterflyfish
5569,N=Chaetodon lunula,C=Raccoon butterflyfish
5570,N=Chalceus macrolepidotus,C=Pinktailed characin
5571,N=Charadrius melodus,C=Piping plover
5572,N=Charadrius morinellus,C=Eurasian dotterel
5573,N=Chaetodontoplus meredithi,C=Queensland yellowtail angelfish
5574,N=Chaetodon melannotus,C=Black back butterflyfish
5575,N=Channa maculata,C=Blotched snakehead
5576,N=Charadrius mongolus,C=Lesser sand plover
5577,N=Channa micropeltes,C=Giant snakehead
5578,N=Chaetodon miliaris,C=Lemon butterflyfish
5579,N=Chaetodontoplus melanosoma,C=Black-velvet angelfish
5580,N=Charadrius montanus,C=Mountain plover
5581,N=Chamaeleo monachus,C=Socotran chameleon
5582,N=Chalinolobus morio,C=Chocolate-wattled bat
5583,N=Chattonella marina var. antiqua,C=Red tide flagellate
5584,N=Chaetodon mertensii,C=Atoll butterflyfish
5585,N=Chaetodon mesoleucos,C=White-face butterflyfish
5586,N=Charadrius modestus,C=Rufous-chested dotterel
5587,N=Chaetodon multicinctus,C=Multi-banded butterflyfish
5588,N=Chaetodon meyeri,C=Meyer's butterflyfish
5589,N=Chamaeleo namaquensis,C=Namaqua chameleon
5590,N=Chaetodipus nelsoni,C=Nelson's pocket mouse
5591,N=Chaerephon nigeriae,C=Nigerian free-tailed bat
5592,N=Chamaemelum nobile,C=Roman chamomile
5593,N=Chaetoderma nitidulum,C=Glistenworm
5594,N=Chamaecyparis obtusa,C=Hinoki false-cypress
5595,N=Chaetodon ocellicaudus,C=Spot-tail butterflyfish
5596,N=Chalcides ocellatus,C=Ocellated skink
5597,N=Chauliognathus opacus,C=Soldier beetle
5598,N=Chaetodon ornatissimus,C=Ornate butterflyfish
5599,N=Chaetodon octofasciatus,C=Eight-banded butterflyfish
5600,N=Chaetodon oxycephalus,C=Spot-nape butterflyfish
5601,N=Chamaesiphon minutus (strain ATCC 27169 / PCC 6605),unknown
5602,N=Chassalia parviflora,unknown
5603,N=Chaenomugil proboscideus,C=Snouted mullet
5604,N=Chaetodon paucifasciatus,C=Crown butterflyfish
5605,N=Chaetymenia peduncularis,C=Daisy
5606,N=Chaetura pelagica,C=Chimney swift
5607,N=Channa punctata,C=Spotted snakehead
5608,N=Chaunax penicillatus,C=Pencil coffinfish
5609,N=Chaunax pictus,C=Pink frogmouth
5610,N=Chaetodon plebeius,C=Blueblotch butterflyfish
5611,N=Chaerephon pumilus,C=Little free-tailed bat
5612,N=Chaetodipus penicillatus,C=Desert pocket mouse
5613,N=Chamaedorea plumosa,C=Palm tree
5614,N=Chaetodipus pernix,C=Sinaloan pocket mouse
5615,N=Chauliodes pectinicornis,C=Summer fishfly
5616,N=Chaetodon punctatofasciatus,C=Spotband butterflyfish
5617,N=Chaetodon pelewensis,C=Sunset butterflyfish
5618,N=Chaceon quinquedens,C=Red deepsea crab
5619,N=Chaetodon quadrimaculatus,C=Four-spot butterflyfish
5620,N=Chaetodon rafflesii,C=Latticed butterflyfish
5621,N=Charadrius ruficapillus,C=Red-capped plover
5622,N=Chaetodipus rudinoris,C=Baja pocket mouse
5623,N=Chalcostigma ruficeps,C=Rufous-capped thornbill
5624,N=Channichthys rhinoceratus,C=Unicorn icefish
5625,N=Chaetodon rainfordi,C=Rainford's butterflyfish
5626,N=Chamaepsila rosae,C=Carrot rust fly
5627,N=Chaetodon striatus,C=Banded butterflyfish
5628,N=Chaetodon speculum,C=Oval-spot butterflyfish
5629,N=Chaenomeles speciosa,C=Flowering quince
5630,N=Chalcophaps stephani,C=Stephan's dove
5631,N=Chamaedorea seifrizii,C=Bamboo palm
5632,N=Chauliodus sloani,C=Sloane's viperfish
5633,N=Charadrius semipalmatus,C=Semipalmated plover
5634,N=Chamaeleo senegalensis,C=Senegal chameleon
5635,N=Chamaechaenactis scaposa,C=Fullstem
5636,N=Chalaropsis sp.,unknown
5637,N=Channa striata,C=Snakehead murrel
5638,N=Chaenactis santolinoides,C=Santolina pincushion
5639,N=Chaetodipus spinatus,C=Spiny pocket mouse
5640,N=Chalcides sexlineatus,C=Gran Canaria skink
5641,N=Chaerilus tricostatus,C=Scorpion
5642,N=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719),unknown
5643,N=Chaetodon trifasciatus,C=Melon butterflyfish
5644,N=Chaetodon tinkeri,C=Tinker's butterflyfish
5645,N=Chauna torquata,C=Southern screamer
5646,N=Chaetodon trifascialis,C=Chevron butterflyfish
5647,N=Chalinolobus tuberculatus,C=New Zealand long-tailed bat
5648,N=Chaerilus tryznai,C=Scorpion
5649,N=Chaetodon ulietensis,C=Pacific double-saddle butterflyfish
5650,N=Chandipura virus (strain I653514),C=CHPV
5651,N=Chaetodon vagabundus,C=Vagabond butterflyfish
5652,N=Chapare mammarenavirus (isolate Human/Bolivia/810419/2003),unknown
5653,N=Chalcides viridanus,C=West Canary skink
5654,N=Charadrius veredus,C=Oriental plover
5655,N=Chaetophractus villosus,C=South American armadillo
5656,N=Charadrius vociferus,C=Killdeer
5657,N=Chaetopterus variopedatus,C=Parchment tube worm
5658,N=Chara vulgaris,C=Common stonewort
5659,N=Chaetura vauxi,C=Vaux's swift
5660,N=Charadrius wilsonia,C=Wilson's plover
5661,N=Chaetodon xanthurus,C=Pearlscale butterfly
5662,N=Channa argus x Channa maculata,C=Hybrid snakehead
5663,N=Chlorante-Aster yellows phytoplasma,unknown
5664,N=Chamaeleo zeylanicus,C=Indian chameleon
5665,N=Chelonoidis abingdonii,C=Abingdon island giant tortoise
5666,N=Cheilosia albitarsis,C=Hoverfly
5667,N=Chenopodium album,C=Fat-hen
5668,N=Chetone angulosa,C=Leopard moth
5669,N=Chelon auratus,C=Golden grey mullet
5670,N=Chenopodium baccatum,C=Coastal saltbush
5671,N=Cheiropleuria bicuspis,C=Fern
5672,N=Chelosania brunnea,C=Chameleon dragon
5673,N=Chelonoidis carbonarius,C=Red-footed tortoise
5674,N=Cheirogaleus crossleyi,C=Furry-eared dwarf lemur
5675,N=Cherax destructor,C=Common yabby crayfish
5676,N=Cherax dispar,C=Crayfish
5677,N=Chelonoidis denticulatus,C=Yellow footed tortoise
5678,N=Cheilochromis euchilus,C=Malawi thick lip
5679,N=Cheilodactylus fasciatus,C=Redfingers
5680,N=Chelus fimbriata,C=Matamata turtle
5681,N=Chersonesometrus fulvipes,C=Indian black scorpion
5682,N=Cheilosia illustrata,C=Hoverfly
5683,N=Chenonetta jubata,C=Australian wood duck
5684,N=Chelidonichthys kumu,C=Bluefin gurnard
5685,N=Chelon labrosus,C=Thicklip grey mullet
5686,N=Chelodina longicollis,C=Snake-necked turtle
5687,N=Cheirogaleus major,C=Greater dwarf lemur
5688,N=Cheyletus malaccensis,C=Predatory mite
5689,N=Cheirogaleus medius,C=Fat-tailed dwarf lemur
5690,N=Chelidonium majus,C=Greater celandine
5691,N=Cheilopogon melanurus,C=Atlantic flyingfish
5692,N=Chenopodiastrum murale,C=Nettle-leaved goosefoot
5693,N=Chelonia mydas,C=Green sea-turtle
5694,N=Chelonus sp. nr. curvimaculatus,C=Parasitic wasp
5695,N=Chelonoidis niger,C=Galapagos giant tortoise
5696,N=Cheiromeles parvidens,C=Lesser naked bat
5697,N=Cheilopogon pinnatibarbatus,C=Bennett's flyingfish
5698,N=Chelyosoma productum,C=Solitary ascidian
5699,N=Chelonodontops patoca,C=Milkspotted pufferfish
5700,N=Cheiracanthium punctorium,C=Yellow sac spider
5701,N=Chenopodium quinoa,C=Quinoa
5702,N=Cherax quinquecarinatus,C=Freshwater crayfish
5703,N=Cherax quadricarinatus,C=Australian red claw crayfish
5704,N=Chelon ramada,C=Thin-lipped grey mullet
5705,N=Chelmon rostratus,C=Copperband butterflyfish
5706,N=Chelon saliens,C=Leaping mullet
5707,N=Chelativorans sp. (strain BNC1),unknown
5708,N=Chengiopanax sciadophylloides,C=Koshiabura
5709,N=Chelydra serpentina,C=Snapping turtle
5710,N=Cheirogaleus sibreei,C=Sibree's dwarf lemur
5711,N=Cherax tenuimanus,C=Australian crayfish
5712,N=Cheracebus torquatus,C=Collared titi monkey
5713,N=Chelonibia testudinaria,C=Turtle barnacle
5714,N=Cheilinus undulatus,C=Humphead wrasse
5715,N=Chelonid herpesvirus 5 (strain FL var A),C=ChHV-5
5716,N=Chionis albus,C=Snowy sheathbill
5717,N=Chilabothrus angulifer,C=Cuban boa
5718,N=Chiococca alba,C=West Indian milkberry
5719,N=Chilomycterus antillarum,C=Web burrfish
5720,N=Chilo auricilius,C=Gold-fringed rice borer
5721,N=Chicoreus asianus,C=Asian murex
5722,N=Chironomus annularius,C=Midge
5723,N=Chiba virus (strain GI/Human/Japan/Chiba 407/1987),C=Hu/NLV/Chiba 407/1987/JP
5724,N=Chitala blanci,C=Indochina featherback
5725,N=Chironius carinatus,C=Machete savane snake
5726,N=Chinchilla chinchilla,C=Short-tailed chinchilla
5727,N=Chiromyscus chiropus,C=Indochinese chiromyscus
5728,N=Gallus gallus,C=Chicken
5729,N=Chitala chitala,C=Clown knifefish
5730,N=Chiroderma doriae,C=Brazilian big-eyed bat
5731,N=Chironomus dorsalis,C=Midge
5732,N=Chilabothrus exsul,C=Abaco Island boa
5733,N=Chitinophaga filiformis,C=Myxococcus filiformis
5734,N=Chironex fleckeri,C=Australian box jellyfish
5735,N=Chilabothrus fordii,C=Ford's boa
5736,N=Chikila fulleri,C=Kuttal caecilian
5737,N=Chiropodomys gliroides,C=Indomalayan pencil-tailed tree mouse
5738,N=Chilobrachys guangxiensis,C=Chinese earth tiger tarantula
5739,N=Chionodraco hamatus,C=Antarctic teleost icefish
5740,N=Chimarrogale himalayica,C=Himalayan water shrew
5741,N=Chiloscyllium indicum,C=Slender bamboo shark
5742,N=Chiroderma improvisum,C=Guadeloupe big-eyed bat
5743,N=Chilomys instans,C=Colombian forest mouse
5744,N=Chitinophaga japonensis,unknown
5745,N=Chionoecetes japonicus,C=Red snow crab
5746,N=Chikungunya virus (strain 37997),C=CHIKV
5747,N=Chironomus kiiensis,C=Midge
5748,N=Chikungunya virus (strain Nagpur),C=CHIKV
5749,N=Chikungunya virus (strain S27-African prototype),C=CHIKV
5750,N=Chikungunya virus,C=CHIKV
5751,N=Chinchilla lanigera,C=Long-tailed chinchilla
5752,N=Chilopsis linearis,C=Desert willow
5753,N=Chitala lopis,C=Giant featherback
5754,N=Chimaphila maculata,C=Striped Prince's pine
5755,N=Chilonatalus micropus,C=Cuban funnel-eared bat
5756,N=Chironax melanocephalus,C=Black-capped fruit bat
5757,N=Chironectes minimus,C=Water opossum
5758,N=Chionis minor,C=Black-faced sheathbill
5759,N=Chimaera monstrosa,C=Rabbit fish
5760,N=Chilabothrus monensis,C=Mona Island boa
5761,N=Chiangiodendron mexicanum,unknown
5762,N=Chionodraco myersi,C=Myers' icefish
5763,N=Chitinophaga niastensis,unknown
5764,N=Chionomys nivalis,C=European snow vole
5765,N=Chionoecetes opilio,C=Crab-beetle
5766,N=Chitala ornata,C=Clown featherback
5767,N=Chironomus pallidivittatus,C=Midge
5768,N=Chitinophaga pinensis (strain ATCC 43595 / DSM 2588 / LMG 13176 / NBRC 15968 / NCIMB 11800 / UQM 2034),unknown
5769,N=Chironomus plumosus,C=Buzzer midge
5770,N=Chilades pandava,C=Plains cupid butterfly
5771,N=Chimarrogale platycephalus,C=Japanese water shrew
5772,N=Chiloscyllium punctatum,C=Brownbanded bambooshark
5773,N=Chiropsoides quadrigatus,C=Box jellyfish
5774,N=Chionodraco rastrospinosus,C=Ocellated icefish
5775,N=Chionomys roberti,C=Robert's snow vole
5776,N=Chilomycterus reticulatus,C=Spotfin burrfish
5777,N=Chiropotes satanas,C=Brown-bearded saki
5778,N=Chicoreus subpalmatus,C=Sea snail
5779,N=Chilo sacchariphagus,C=Spotted borer
5780,N=Chilabothrus strigilatus fosteri,C=Bimini Island boa constrictor
5781,N=Chiroderma salvini,C=Salvin's big-eyed bat
5782,N=Chilabothrus strigilatus mccraniei,C=Ragged Island boa constrictor
5783,N=Chilo suppressalis,C=Asiatic rice borer moth
5784,N=Chilabothrus striatus,C=Haitian boa constrictor
5785,N=Chilabothrus strigilatus strigilatus,C=New Providence boa constrictor
5786,N=Chilorhinus suensonii,C=Seagrass eel
5787,N=Chilabothrus subflavus,C=Jamaican yellow boa
5788,N=Chionoecetes tanneri,C=Grooved Tanner crab
5789,N=Chironomus tentans,C=Midge
5790,N=Chironomus thummi thummi,C=Midge
5791,N=Chironomus thummi piger,C=Midge
